pdbid,label
6ki1,Gram-neg. inner
7deg,Gram-neg. inner
1l9b,Thylakoid
7pd4,Eykaryo. plasma
6rko,Gram-neg. inner
5xte,Mitochon. inner
3pgs,Gram-neg. outer
3vw7,Eykaryo. plasma
2z73,Eykaryo. plasma
4kfm,Eykaryo. plasma
2xut,Gram-neg. inner
2mi2,Gram-neg. inner
3ux4,Gram-neg. inner
1c17,Gram-neg. inner
7pij,Gram-pos. inner
2na8,Eykaryo. plasma
1zrt,Gram-neg. inner
7yxa,Eykaryo. plasma
6lyr,Gram-neg. outer
5l25,Eykaryo. plasma
2dyr,Mitochon. inner
7zc6,Gram-pos. inner
5uar,Eykaryo. plasma
2q7r,Endoplasm. reticulum
5uld,Gram-neg. inner
2kb7,Endoplasm. reticulum
5xj5,Gram-neg. inner
7w0n,Eykaryo. plasma
5wuf,Gram-neg. inner
6mi8,Gram-neg. inner
4rdr,Gram-neg. outer
2j7a,Gram-neg. inner
3t9n,Gram-pos. inner
4g1u,Gram-neg. inner
2mmu,Gram-pos. inner
7s8l,Eykaryo. plasma
6j8e,Eykaryo. plasma
2wjr,Gram-neg. outer
2m59,Eykaryo. plasma
7ari,Gram-neg. inner
7d99,Eykaryo. plasma
5ayn,Gram-neg. inner
7ku5,Thylakoid
6xpd,Eykaryo. plasma
1zcd,Gram-neg. inner
5wln,Gram-neg. inner
4k5y,Eykaryo. plasma
6v22,Eykaryo. plasma
5uj9,Eykaryo. plasma
6li0,Eykaryo. plasma
6gv9,Gram-neg. inner
7cff,Gram-neg. inner
4uc1,Gram-neg. inner
2grx,Gram-neg. outer
6fos,Thylakoid
4pgr,Gram-pos. inner
6ko5,Eykaryo. plasma
4il3,Endoplasm. reticulum
7w7g,Eykaryo. plasma
7d06,Gram-neg. inner
6pep,Gram-neg. inner
4wmz,Endoplasm. reticulum
7byl,Eykaryo. plasma
7lep,Eykaryo. plasma
6ykm,Gram-neg. inner
6wb9,Endoplasm. reticulum
7np3,Eykaryo. plasma
6j5j,Mitochon. inner
5m87,Gram-pos. inner
6lmt,Eykaryo. plasma
7d5q,Gram-pos. inner
7vl9,Eykaryo. plasma
6x6k,Gram-neg. outer
7bvc,Gram-pos. inner
6uks,Mitochon. inner
7k15,Eykaryo. plasma
3j1z,Gram-neg. inner
5azb,Gram-neg. inner
5sv0,Gram-neg. inner
6fuf,Eykaryo. plasma
3v89,Gram-neg. outer
6l35,Thylakoid
5uen,Eykaryo. plasma
6wlb,Eykaryo. plasma
7l0s,Eykaryo. plasma
5n9y,Gram-neg. inner
6yuz,Eykaryo. plasma
6wvd,Endoplasm. reticulum
7xw5,Eykaryo. plasma
5yw7,Eykaryo. plasma
1m56,Gram-neg. inner
2oar,Gram-pos. inner
5iji,Gram-neg. inner
8ef5,Eykaryo. plasma
2ka2,Mitochon. outer
4bum,Mitochon. outer
6t1z,Gram-pos. inner
3vou,Gram-neg. inner
7ks0,Eykaryo. plasma
5a40,Gram-neg. inner
4gey,Gram-neg. outer
7czb,Endoplasm. reticulum
8apa,Mitochon. inner
6nav,Archaebac.
4hw9,Gram-neg. inner
5eke,Gram-neg. inner
7mjs,Eykaryo. plasma
6i1x,Gram-neg. outer
6nwd,Gram-neg. inner
2n7i,Eykaryo. plasma
3b60,Gram-neg. inner
2vpz,Gram-neg. inner
7d7r,Eykaryo. plasma
6z16,Gram-pos. inner
6klv,Gram-neg. inner
4lds,Gram-pos. inner
6bwf,Eykaryo. plasma
7p5c,Eykaryo. plasma
2erv,Gram-neg. outer
1dxr,Thylakoid
3wbn,Archaebac.
7ck6,Mitochon. outer
6xiw,Eykaryo. plasma
5uiw,Eykaryo. plasma
5gae,Gram-neg. inner
7drt,Eykaryo. plasma
7nyr,Gram-neg. inner
3wo7,Gram-pos. inner
3qra,Gram-neg. outer
7qe5,Gram-neg. inner
6vyh,Eykaryo. plasma
6zka,Mitochon. inner
2e74,Thylakoid
2lon,Mitochon. inner
6gs4,Gram-neg. inner
3qlb,Gram-neg. outer
5dwy,Archaebac.
5svj,Eykaryo. plasma
3ldc,Archaebac.
7mbx,Eykaryo. plasma
7s3d,Thylakoid
5ldv,Gram-neg. outer
6xkz,Gram-neg. inner
5vre,Gram-neg. inner
7pge,Gram-neg. outer
7php,Gram-neg. inner
3j5p,Eykaryo. plasma
3rce,Gram-neg. inner
3v5u,Archaebac.
4wis,Eykaryo. plasma
2qks,Gram-neg. inner
2hi7,Gram-neg. inner
7kyo,Gram-pos. inner
2y0h,Gram-neg. outer
6f0k,Gram-neg. inner
2rmz,Eykaryo. plasma
6kkt,Eykaryo. plasma
6hum,Gram-neg. inner
6a2j,Gram-pos. inner
3kg2,Eykaryo. plasma
5x3x,Gram-neg. inner
5iws,Gram-pos. inner
5fok,Gram-neg. outer
5y83,Gram-neg. inner
7jv5,Eykaryo. plasma
5ldw,Mitochon. inner
6zr2,Mitochon. inner
6me7,Eykaryo. plasma
4yuu,Thylakoid
2iwv,Gram-neg. outer
3kly,Gram-neg. inner
7wi6,Eykaryo. plasma
6iok,Gram-neg. inner
6jbh,Gram-pos. inner
3din,Gram-neg. inner
2n90,Eykaryo. plasma
5c78,Gram-neg. inner
6uun,Eykaryo. plasma
3ne2,Archaebac.
2qjy,Gram-neg. inner
7ot9,Gram-neg. inner
6ys8,Gram-neg. inner
7p2p,Endoplasm. reticulum
5ktf,Eykaryo. plasma
6mie,Eykaryo. plasma
7mhz,Endoplasm. reticulum
7d3e,Eykaryo. plasma
3c02,Eykaryo. plasma
6lw5,Eykaryo. plasma
7rsl,Endoplasm. reticulum
6ehb,Gram-neg. outer
7f16,Eykaryo. plasma
2x2v,Gram-pos. inner
2yvx,Gram-neg. inner
7dr0,Thylakoid
2lme,Gram-neg. outer
3bcc,Mitochon. inner
6qam,Gram-neg. outer
6dw0,Eykaryo. plasma
2xzb,Eykaryo. plasma
1uaz,Archaebac.
5kbt,Eykaryo. plasma
6i97,Gram-neg. outer
2mfr,Eykaryo. plasma
6lke,Mitochon. outer
5cbg,Gram-pos. inner
7bw1,Endoplasm. reticulum
2x55,Gram-neg. outer
6mmr,Eykaryo. plasma
7cz5,Eykaryo. plasma
6bfg,Gram-neg. inner
2yev,Gram-neg. inner
6w6m,Gram-neg. outer
6ds5,Endoplasm. reticulum
4qtn,Gram-neg. inner
5llu,Eykaryo. plasma
3bs0,Gram-neg. outer
2mpr,Gram-neg. outer
5hk7,Gram-neg. inner
3s0x,Archaebac.
2lnl,Eykaryo. plasma
6wi9,Eykaryo. plasma
5yq7,Gram-neg. inner
6hrc,Gram-neg. inner
5zih,Eykaryo. plasma
7f56,Eykaryo. plasma
7f61,Eykaryo. plasma
5xnl,Thylakoid
4v6m,Gram-neg. inner
6x4s,Mitochon. inner
1rkl,Endoplasm. reticulum
4ri2,Thylakoid
6lo8,Mitochon. inner
6wv8,Endoplasm. reticulum
5xls,Gram-neg. inner
3aqp,Gram-neg. inner
4j7c,Gram-pos. inner
6bqr,Eykaryo. plasma
1l7v,Gram-neg. inner
7jic,Eykaryo. plasma
6lvf,Gram-neg. inner
4jq6,Gram-neg. inner
5mkk,Gram-neg. inner
6vp0,Endoplasm. reticulum
6cfw,Archaebac.
2l8s,Eykaryo. plasma
6c70,Eykaryo. plasma
7k7a,Eykaryo. plasma
7e1v,Gram-pos. inner
7rja,Mitochon. inner
4zyo,Endoplasm. reticulum
5zug,Gram-neg. inner
6ww2,Eykaryo. plasma
7abw,Gram-neg. inner
3gp6,Gram-neg. outer
5edl,Gram-pos. inner
4dkl,Eykaryo. plasma
4zr1,Endoplasm. reticulum
3tx3,Gram-neg. inner
2onk,Archaebac.
3hfx,Gram-neg. inner
6r6b,Gram-neg. inner
4d51,Gram-neg. outer
6lkn,Endoplasm. reticulum
5xar,Gram-neg. inner
5jsi,Gram-pos. inner
6wwz,Eykaryo. plasma
2hac,Eykaryo. plasma
6wm5,Gram-pos. inner
6lfm,Eykaryo. plasma
7bp3,Eykaryo. plasma
7rtu,Eykaryo. plasma
7dcv,Eykaryo. plasma
5h35,Archaebac.
7lg1,Eykaryo. plasma
1fft,Gram-neg. inner
6v3f,Endoplasm. reticulum
4qnc,Gram-neg. inner
7yzi,Gram-pos. inner
2h8a,Endoplasm. reticulum
5fq6,Gram-neg. outer
6x58,Gram-neg. inner
5oqk,Eykaryo. plasma
3d31,Archaebac.
6vx7,Eykaryo. plasma
3gia,Archaebac.
1eys,Thylakoid
7cfs,Eykaryo. plasma
6zdb,Mitochon. inner
6wk5,Gram-pos. inner
7d76,Eykaryo. plasma
3ayf,Gram-pos. inner
4w6v,Gram-neg. inner
6rhz,Thylakoid
6k41,Eykaryo. plasma
6h8k,Mitochon. inner
4mrs,Gram-neg. inner
6ehf,Gram-neg. outer
6iyc,Eykaryo. plasma
5xtd,Mitochon. inner
6bug,Gram-pos. inner
3hzq,Gram-pos. inner
7py4,Eykaryo. plasma
7d6x,Gram-pos. inner
5v8k,Gram-pos. inner
6e3y,Eykaryo. plasma
5x41,Gram-neg. inner
7e4g,Archaebac.
6p25,Endoplasm. reticulum
1pw4,Gram-neg. inner
6yez,Thylakoid
7m33,Gram-pos. inner
5wq8,Gram-neg. outer
2jp3,Eykaryo. plasma
6q9e,Mitochon. inner
4xtl,Gram-neg. inner
2wlk,Gram-neg. inner
5or1,Gram-neg. outer
7ji3,Eykaryo. plasma
6q53,Thylakoid
2f1v,Gram-neg. outer
5mlz,Archaebac.
5d0y,Gram-pos. inner
1q16,Gram-neg. inner
4or2,Eykaryo. plasma
6tmh,Mitochon. inner
3rfu,Gram-neg. inner
7bmh,Eykaryo. plasma
5gli,Eykaryo. plasma
7mpa,Endoplasm. reticulum
6tmj,Mitochon. inner
1xkw,Gram-neg. outer
5y4o,Gram-neg. inner
3csl,Gram-neg. outer
7op3,Endoplasm. reticulum
2na7,Eykaryo. plasma
1p4t,Gram-neg. outer
3pl9,Thylakoid
6wxr,Eykaryo. plasma
7t6d,Gram-neg. inner
7cad,Gram-pos. inner
3j08,Archaebac.
3jqo,Gram-neg. outer
2qi9,Gram-neg. inner
5xjm,Eykaryo. plasma
7ph8,Eykaryo. plasma
1kqf,Gram-neg. inner
6iql,Eykaryo. plasma
6jfy,Eykaryo. plasma
7xtb,Eykaryo. plasma
6a70,Eykaryo. plasma
7f4v,Thylakoid
6zhg,Gram-pos. inner
7tpg,Gram-neg. inner
7f6h,Eykaryo. plasma
5da0,Gram-neg. inner
7try,Eykaryo. plasma
5nv9,Gram-neg. inner
3x29,Eykaryo. plasma
3spc,Eykaryo. plasma
6tt7,Mitochon. inner
6tzk,Gram-neg. outer
6k7g,Endoplasm. reticulum
2ksd,Gram-neg. inner
4wz7,Mitochon. inner
7bty,Mitochon. outer
2lom,Mitochon. inner
6xxd,Gram-neg. inner
5hk1,Endoplasm. reticulum
6r4l,Eykaryo. plasma
1lgh,Thylakoid
4x5m,Gram-neg. inner
6ows,Gram-neg. inner
3j7r,Endoplasm. reticulum
6lyp,Mitochon. inner
6cm4,Eykaryo. plasma
7ddz,Eykaryo. plasma
2gr7,Gram-neg. outer
5mrw,Gram-neg. inner
6ezn,Endoplasm. reticulum
2m3e,Eykaryo. plasma
1m0l,Archaebac.
6ov2,Eykaryo. plasma
